team_1_jungler,team_1_roamer,team_1_midlaner,team_1_goldlaner,team_1_explaner,team_2_jungler,team_2_roamer,team_2_midlaner,team_2_goldlaner,team_2_explaner,result
lancelot,grock,pharsa,mellisa,esmeralda,akai,mathilda,faramis,beatrix,fredrin,lose
akai,mathilda,pharsa,brody,yuzhong,minotaur,ruby,lylia,beatrix,paquito,win
akai,faramis,yvee,beatrix,yuzhong,ling,diggie,pharsa,paquito,benedetta,win
balmond,atlas,yvee,beatrix,yuzhong,ling,angela,faramis,paquito,akai,lose
barats,mathilda,lylia,claude,esmeralda,akai,rafaela,pharsa,beatrix,paquito,win
karina,atlas,faramis,claude,esmeralda,barats,diggie,yvee,irithel,paquito,win
ling,diggie,yvee,mellisa,esmeralda,paquito,ruby,lunox,beatrix,fredrin,win
paquito,atlas,faramis,irithel,phoveus,julian,mathilda,chou,claude,grock,win
fanny,atlas,pharsa,bruno,fredrin,paquito,diggie,yvee,beatrix,grock,lose
fanny,jawhead,yvee,beatrix,esmeralda,ling,ruby,faramis,paquito,dyroth,lose
ling,grock,faramis,beatrix,yuzhong,minotaur,rafaela,pharsa,mellisa,paquito,win
chou,mathilda,lylia,claude,paquito,ling,ruby,yvee,brody,grock,win
ling,grock,yvee,irithel,paquito,minotaur,mathilda,faramis,brody,esmeralda,win
karina,mathilda,lylia,mellisa,paquito,lancelot,grock,faramis,claude,fredrin,lose
paquito,lolita,lylia,irithel,uranus,fredrin,faramis,gusion,claude,ruby,lose
lancelot,grock,lylia,mellisa,fredrin,aamon,hilda,yvee,claude,paquito,lose
ling,kadita,julian,claude,esmeralda,dyroth,mathilda,lylia,irithel,paquito,lose
baxia,mathilda,faramis,beatrix,esmeralda,dyroth,grock,yvee,claude,paquito,win
minotaur,rafaela,faramis,beatrix,grock,aamon,mathilda,lylia,mellisa,paquito,win
aamon,mathilda,faramis,benedetta,akai,ling,grock,lylia,phoveus,paquito,win
balmond,lolita,yvee,brody,paquito,akai,kadita,chou,beatrix,esmeralda,lose
ling,akai,valentina,beatrix,paquito,fanny,atlas,pharsa,mellisa,claude,win
akai,lolita,lylia,beatrix,uranus,dyroth,mathilda,yvee,claude,paquito,win
chou,jawhead,pharsa,wanwan,esmeralda,fanny,atlas,valentina,irithel,dyroth,win
fanny,atlas,lylia,popol,paquito,akai,ruby,gusion,beatrix,esmeralda,lose
akai,mathilda,pharsa,brody,paquito,benedetta,grock,lylia,beatrix,fredrin,lose
ling,angela,yvee,mellisa,grock,fanny,chou,faramis,claude,yuzhong,lose
chou,franko,pharsa,wanwan,esmeralda,ling,lolita,valentina,irithel,paquito,lose
lance,lolita,valentina,claude,fredrin,balmond,chou,gusion,bruno,paquito,win
balmond,atlas,pharsa,claude,paquito,karina,mathilda,lylia,miya,fredrin,lose
paquito,lolita,yvee,beatrix,khalid,lancelot,mathilda,lylia,claude,esmeralda,lose
dyroth,mathilda,pharsa,claude,uranus,balmond,grock,lylia,lesly,esmeralda,lose





